2871 Gulf To Bay Blvd,Village Inn Restaurant and Bakery
605 W Main St,Atlantic No. 5
3803 9th St S W,Famous Dave's
30 S Main St,The Feve
55 Crescent Dr,Quiznos
2243 Richmond Ave,Hobbit Cafe
8007 State Rt 31,Familia Pizza
415 Thompson Ln,Lalibela Ethiopian Cuisine
217 W Beloit St,Villa Pizza (closed)
309 N Lamar Blvd,The Pita Pit
1819 Lake Cook Rd,P.f. Chang's China Bistro
6286 N College Ave,Marco's Pizza
145 Charles St,King I
113 Monroe St,Pizza Pit
302 S 38th St,Mcforters
7830 Highway 92,Sonny's Real Pit Bar-b-q
26 5th Ave N,Milio's Sandwiches
249 N Rocky River Dr,Oven Fresh Pizza - Southwest - Berea
240 College St,King Falafel Restaurant
1912 W 5600 S,Taco Del Mar
242 S Beverly Dr,A Votre Sante
9816 4th Ave,Win Hing
Po Box 6514,Michael's Catering
106 Commercial St,Domino's
222 E Main St,Dockside Deli
14810 Detroit Ave,Deagan's Kitchen & Bar
1580 W Koger Center Dr,Kabab Grille
110 Lexington Ave 28,Pongal
326 S Main St,Champion House Sushi
2222 Francisco Dr,Burger Hut El Dorado Hills
7498 E Colonial Dr,Panda Bistro
90 Rivington St,Teany Cafe
473 N E 20th St,Dog Den
2908 Fruth St,Juiceland - University of Texas - Austin
5951 Poyner Village Pkwy,Organic Festival
226 Thompson St,Quantum Leap Restaurant
1972 Lombard St,Alive
320 Atwood St,Maggie's Mercantile
76 E Palm Dr,Miami Subs
25672 Northwest Fwy,Mcalister's Deli
5950 Route 6,Laura and Tony's Kitchen
6225 Sandshell Dr,On The Border Mexican Cafe
561 W Campbell Rd,Braum's Ice Cream & Dairy Stores
424 Elden St,Naked Lunch
2842 Rogers Dr,Labor Ready Inc
547 Avenue Of The Americas,Green Fusion
8122 Lefferts Blvd,Thyme Natural Market & Cafe
910 S Cooper Rd,Salad and Go
1330 Prytania St,Seed
9300 S I 35,La Salsa
1000 Main St,My Fit Foods
8946 W Pico Blvd,Basil &berry (closed)
191 E Main Saint 1b,Freesoulcaffe
3434 Washington Blvd,Mei's Asian Bistro
500 N Chestnut St,Pure Market Express
14370 Culver Dr,Wheel of Life
3998 S Carrier Pkwy,Taco Cabana
1000 Park Blvd,La La Bistro
57 Bloomfield Ave,Veggie Heaven
4925 N Broadway St,Pho HOA
110 Moore St,2 Girls &2 Pups Bake Shop (closed)
830 W 36th Pl,Jamba Juice
12731 W Ih 10,Taco Cabana
2930 Beach Blvd S,Mangia Gourmet
45 Malcolm X Blvd,Verizon Wireless
210 Broadway E,Highline
2542 E Bitters Rd,Taco Cabana
12000 Webb Chapel Rd,Taco Cabana
4250 N Expy,Taco Cabana
167 Grand St,Bliss Grand
102 8th Ave,Liquiteria
4206 Worth Ave Easton Gtwy,Melt Bar Grilled
203 1st Ave,Quantum Leap Natural Foods
3022 Packard St,Hut-k Chaats
5711 Hillcroft Ave 3,Chowpatty Chat Co
8632 E Valley Blvd,New Happy Family Restaurant
10890 Nw Fwy,Taco Cabana
3142 S Highland Dr,The Kathmandu
11722 N I 35,Taco Cabana
544 Tremont St,Addis Red Sea
2281 Church Ave,Four Seasons
7373 Beverly Blvd,Taste of The Goddess Cafe
145 N Glenwood St,Lotus Cafe
21720 S Vermont Ave,Vigan Express
1122 W Avenue K,Get Fresh Cafe
Fm 1960 Bypass Rd E,On The Border
17 E Flagler St,Flagler First Condominiums Inc
77 Main St,Burrito Fresco
1344 Abbot Kinney Blvd,Toms Coffee Bar
13900 N Central Expy,Frullati Cafe
213 Central Expy S,On The Border Mexican Grill
800 N Glebe Rd,Protein Bar
52 N Queen St,The Seed
18700 Woodward Ave,Organikiss Bistro Juice Bar
1520 Hendricks Ave,Green Erth Bistro
829 Euclid Ave,Bourbon N' Toulouse
101 W 4th St,Mooney's Mediterranean Cafe
6895 E Lake Mead Blvd,Port of Subs
138 Congress St,Flatbread Company
1160 Capuchino Ave,Que Seraw Seraw